Date,DXY,Oil_WTI,Gold,US_Fed_Rate,US_10Y_Yield
2022-12-31,2.183703,4.386989,-0.4285387,3.415331,1.5225562
2023-01-01,2.3414743,4.355808,-0.42747614,3.409834,1.5453843
2023-01-31,2.3381753,4.1717234,-0.46810088,3.408231,1.5396534
2023-02-01,2.368781,4.156704,-0.45972005,3.1711767,1.6131337
2023-02-28,2.3694077,4.1135683,-0.4419329,3.193693,1.6106101
2023-03-01,2.298574,4.147975,-0.44794354,2.7554154,1.4951112
2023-03-31,2.298574,4.10269,-0.44794354,2.8064218,1.48939
2023-04-01,2.2907393,4.219634,-0.6428133,3.727485,1.3281049
2023-04-30,2.289057,4.219634,-0.64113104,3.727485,1.3281049
2023-05-01,2.3042665,4.274717,-0.60150975,3.7593992,1.412289
2023-05-31,2.7849865,3.0653088,-0.5808482,4.2918997,1.317611
2023-06-01,2.790793,3.0916586,-0.5728852,4.0853057,1.4165161
2023-06-30,2.3867388,3.8077528,-0.6057036,3.4925,1.454219
2023-07-01,2.756696,3.2671144,-0.5340968,2.7927368,-1.1558241
2023-07-31,2.7008913,3.957286,-0.50078434,2.7918236,-1.1345952
2023-08-01,3.0379882,3.9861448,-0.48971245,2.5523038,-2.1798182
2023-08-31,3.0379882,3.9861448,-0.48971245,2.5523038,-2.1798182
2023-09-01,2.703056,3.7529414,-0.4655184,1.8523091,-3.9274037
2023-09-30,2.3932607,4.306104,-0.32182178,1.7851354,-4.292955
2023-10-01,2.6032937,4.7589574,-0.29962498,2.3670619,-2.4743347
2023-10-31,2.913089,4.205795,-0.44332144,2.4342346,-2.108782
2023-11-01,2.703056,3.7529414,-0.46319482,1.8523091,-3.7722123
2023-11-30,2.700384,3.5012686,-0.48603216,1.9216582,-3.7912824
2023-12-01,3.0547588,3.8196583,-0.54079884,2.865864,-1.323549
2023-12-31,2.9908667,3.7043276,-0.5172463,2.7618675,-1.3433082
2024-01-01,2.9908667,3.7043276,-0.5172463,2.7618675,-1.3433082
2024-01-31,3.0547588,3.8196583,-0.54079884,2.865864,-1.323549
2024-02-01,3.031756,3.763223,-0.51241434,2.6121004,-2.267116
2024-02-29,3.0311294,3.8178322,-0.5302015,2.5218477,-2.2926834
2024-03-01,3.0311294,3.8178322,-0.5302015,2.5218477,-2.2926834
2024-03-31,3.0344286,3.9758894,-0.4895768,2.5234513,-2.2870526
2024-04-01,2.6817458,3.8166428,-0.4431207,1.8997276,-3.8723383
2024-04-30,2.6817458,3.8166428,-0.4431207,1.8997276,-3.8723383
2024-05-01,2.703056,3.7529414,-0.46319482,1.8523091,-3.9297273
2024-05-31,2.700384,3.5012686,-0.48603216,1.9216582,-3.9487972
2024-06-01,2.7902172,3.6227713,-0.57083803,2.3542054,-2.6061707
2024-06-30,2.7928898,3.8744442,-0.54800063,2.284856,-2.5871005
2024-07-01,2.9664977,3.9577017,-0.4912528,2.337717,-2.7195828
2024-07-31,2.9638255,3.799055,-0.5318775,2.3360772,-2.7252135
2024-08-01,2.546326,4.1264834,-0.4471248,3.19555,0.8293336
2024-08-31,2.4829779,3.8381598,-0.40438172,3.1652327,0.77529174
2024-09-01,2.2542346,4.1553354,-0.59507334,3.7470758,1.1928405
2024-09-30,2.7816434,3.052832,-0.59600323,4.2898645,1.1178634
2024-10-01,3.1700408,2.8656547,-0.56818795,3.4534674,-0.9535422
2024-10-31,3.2823021,2.809025,-0.5796501,3.473893,-0.931858
2024-11-01,2.8619988,2.1435916,-0.35134193,1.5102718,-3.8837779
