Date,Brazil,Russia,India,China,South_Africa,Germany_EU,Japan,UK,Canada,DXY,Oil_WTI,Gold,US_Fed_Rate,US_CPI,US_M2,US_10Y_Yield
2001-05-31,,,,,,,119.2300033569336,,,119.06999969482422,28.3700008392334,265.29998779296875,,,,
2001-06-01,,,,,,,,,,,,,3.97,177.7,5180.1,5.28
2001-06-30,,,,8.276800155639648,,,124.5,,,119.43000030517578,26.25,270.6000061035156,,,,
2001-07-01,,,,,,,,,,,,,3.77,177.4,5210.0,5.24
2001-07-31,,,,8.276700019836426,,,125.01000213623047,,,117.18000030517578,26.350000381469727,266.20001220703125,,,,
2001-08-01,,,,,,,,,,,,,3.65,177.4,5243.8,4.97
2001-08-31,,,,8.276900291442871,,,118.75,,,113.41999816894531,27.200000762939453,274.3999938964844,,,,
2001-09-01,,,,,,,,,,,,,3.07,178.1,5355.1,4.73
2001-09-30,,,,8.276900291442871,,,119.4800033569336,,,113.4800033569336,23.43000030517578,292.3999938964844,,,,
2001-10-01,,,,,,,,,,,,,2.49,177.6,5343.8,4.57
2001-10-31,,,,8.277000427246094,,,122.4000015258789,,,114.86000061035156,21.18000030517578,279.5,,,,
2001-11-01,,,,,,,,,,,,,2.09,177.5,5387.5,4.65
2001-11-30,,,,8.277400016784668,,,123.44999694824219,,,116.12999725341797,19.440000534057617,273.8999938964844,,,,
2001-12-01,,,,,,,,,,,,,1.82,177.4,5440.5,5.09
