Date,Brazil,Russia,India,China,South_Africa,Germany_EU,Japan,UK,Canada,DXY,Oil_WTI,Gold,US_Fed_Rate,US_CPI,US_M2,US_10Y_Yield,Brazil_GDP_growth,Canada_GDP_growth,China_GDP_growth,Germany_EU_GDP_growth,UK_GDP_growth,India_GDP_growth,Japan_GDP_growth,Russia_GDP_growth,South_Africa_GDP_growth,Brazil_Debt_to_GDP,Canada_Debt_to_GDP,China_Debt_to_GDP,Germany_EU_Debt_to_GDP,UK_Debt_to_GDP,India_Debt_to_GDP,Japan_Debt_to_GDP,Russia_Debt_to_GDP,South_Africa_Debt_to_GDP,Brazil_CPI_inflation,Canada_CPI_inflation,China_CPI_inflation,Germany_EU_CPI_inflation,UK_CPI_inflation,India_CPI_inflation,Japan_CPI_inflation,Russia_CPI_inflation,South_Africa_CPI_inflation,Brazil_Trade_balance,Canada_Trade_balance,China_Trade_balance,Germany_EU_Trade_balance,UK_Trade_balance,India_Trade_balance,Japan_Trade_balance,Russia_Trade_balance,South_Africa_Trade_balance,Brazil_Current_acct,Canada_Current_acct,China_Current_acct,Germany_EU_Current_acct,UK_Current_acct,India_Current_acct,Japan_Current_acct,Russia_Current_acct,South_Africa_Current_acct,Brazil_Stock,Brazil_Stock_return_12m
2000-01-01,,,,,,,,,,,,,5.45,169.3,4667.6,6.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-31,,,,,,,107.1999969482422,,,105.12999725341795,,,,,,,4.38794944364869,5.1385391803606,8.58643201808462,2.8765231247659,4.52438074810904,3.84099115659129,2.76464755136783,10.0000668136515,4.20000000067826,,58.7379742383571,,,87.284376049437,55.0042464964554,,62.1488888669576,39.6390583837328,7.04414105947266,2.71943995691976,0.347811226864587,1.44026838719741,1.18295624210408,4.0094359104519,-0.676578683595175,20.7987606558704,5.33895913599828,-2.26366534727728,5.6531137918907,2.35225624908626,0.165707202088596,-1.22533511833803,-0.906450287751646,1.36461682159555,20.0269755736737,2.58788488597607,-4.04774157195875,2.48322832733606,1.67667411710879,-1.5131310276989,-1.80322397590519,-0.982342580017137,2.63045548903537,17.4742424828314,-0.125570459653346,16388.0,
2000-02-01,,,,,,,,,,,,,5.73,170.0,4680.9,6.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-29,,,,,,,110.19000244140624,,,105.91999816894533,,,,,,,4.38794944364869,5.1385391803606,8.58643201808462,2.8765231247659,4.52438074810904,3.84099115659129,2.76464755136783,10.0000668136515,4.20000000067826,,58.7379742383571,,,87.284376049437,55.0042464964554,,62.1488888669576,39.6390583837328,7.04414105947266,2.71943995691976,0.347811226864587,1.44026838719741,1.18295624210408,4.0094359104519,-0.676578683595175,20.7987606558704,5.33895913599828,-2.26366534727728,5.6531137918907,2.35225624908626,0.165707202088596,-1.22533511833803,-0.906450287751646,1.36461682159555,20.0269755736737,2.58788488597607,-4.04774157195875,2.48322832733606,1.67667411710879,-1.5131310276989,-1.80322397590519,-0.982342580017137,2.63045548903537,17.4742424828314,-0.125570459653346,17660.0,
2000-03-01,,,,,,,,,,,,,5.85,171.0,4711.7,6.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-31,,,,,,,102.95999908447266,,,105.44000244140624,,,,,,,4.38794944364869,5.1385391803606,8.58643201808462,2.8765231247659,4.52438074810904,3.84099115659129,2.76464755136783,10.0000668136515,4.20000000067826,,58.7379742383571,,,87.284376049437,55.0042464964554,,62.1488888669576,39.6390583837328,7.04414105947266,2.71943995691976,0.347811226864587,1.44026838719741,1.18295624210408,4.0094359104519,-0.676578683595175,20.7987606558704,5.33895913599828,-2.26366534727728,5.6531137918907,2.35225624908626,0.165707202088596,-1.22533511833803,-0.906450287751646,1.36461682159555,20.0269755736737,2.58788488597607,-4.04774157195875,2.48322832733606,1.67667411710879,-1.5131310276989,-1.80322397590519,-0.982342580017137,2.63045548903537,17.4742424828314,-0.125570459653346,17820.0,
2000-04-01,,,,,,,,,,,,,6.02,170.9,4767.8,5.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-04-30,,,,,,,108.1500015258789,,,110.13999938964844,,,,,,,4.38794944364869,5.1385391803606,8.58643201808462,2.8765231247659,4.52438074810904,3.84099115659129,2.76464755136783,10.0000668136515,4.20000000067826,,58.7379742383571,,,87.284376049437,55.0042464964554,,62.1488888669576,39.6390583837328,7.04414105947266,2.71943995691976,0.347811226864587,1.44026838719741,1.18295624210408,4.0094359104519,-0.676578683595175,20.7987606558704,5.33895913599828,-2.26366534727728,5.6531137918907,2.35225624908626,0.165707202088596,-1.22533511833803,-0.906450287751646,1.36461682159555,20.0269755736737,2.58788488597607,-4.04774157195875,2.48322832733606,1.67667411710879,-1.5131310276989,-1.80322397590519,-0.982342580017137,2.63045548903537,17.4742424828314,-0.125570459653346,15538.0,
2000-05-01,,,,,,,,,,,,,6.27,171.2,4755.7,6.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-31,,,,,,,107.62999725341795,,,108.73999786376952,,,,,,,4.38794944364869,5.1385391803606,8.58643201808462,2.8765231247659,4.52438074810904,3.84099115659129,2.76464755136783,10.0000668136515,4.20000000067826,,58.7379742383571,,,87.284376049437,55.0042464964554,,62.1488888669576,39.6390583837328,7.04414105947266,2.71943995691976,0.347811226864587,1.44026838719741,1.18295624210408,4.0094359104519,-0.676578683595175,20.7987606558704,5.33895913599828,-2.26366534727728,5.6531137918907,2.35225624908626,0.165707202088596,-1.22533511833803,-0.906450287751646,1.36461682159555,20.0269755736737,2.58788488597607,-4.04774157195875,2.48322832733606,1.67667411710879,-1.5131310276989,-1.80322397590519,-0.982342580017137,2.63045548903537,17.4742424828314,-0.125570459653346,14957.0,
2000-06-01,,,,,,,,,,,,,6.53,172.2,4773.6,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-06-30,,,,,,,106.01000213623048,,,106.83999633789062,,,,,,,4.38794944364869,5.1385391803606,8.58643201808462,2.8765231247659,4.52438074810904,3.84099115659129,2.76464755136783,10.0000668136515,4.20000000067826,,58.7379742383571,,,87.284376049437,55.0042464964554,,62.1488888669576,39.6390583837328,7.04414105947266,2.71943995691976,0.347811226864587,1.44026838719741,1.18295624210408,4.0094359104519,-0.676578683595175,20.7987606558704,5.33895913599828,-2.26366534727728,5.6531137918907,2.35225624908626,0.165707202088596,-1.22533511833803,-0.906450287751646,1.36461682159555,20.0269755736737,2.58788488597607,-4.04774157195875,2.48322832733606,1.67667411710879,-1.5131310276989,-1.80322397590519,-0.982342580017137,2.63045548903537,17.4742424828314,-0.125570459653346,16728.0,
2000-07-01,,,,,,,,,,,,,6.54,172.7,4791.3,6.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-07-31,,,,,,,109.33000183105467,,,109.56999969482422,,,,,,,4.38794944364869,5.1385391803606,8.58643201808462,2.8765231247659,4.52438074810904,3.84099115659129,2.76464755136783,10.0000668136515,4.20000000067826,,58.7379742383571,,,87.284376049437,55.0042464964554,,62.1488888669576,39.6390583837328,7.04414105947266,2.71943995691976,0.347811226864587,1.44026838719741,1.18295624210408,4.0094359104519,-0.676578683595175,20.7987606558704,5.33895913599828,-2.26366534727728,5.6531137918907,2.35225624908626,0.165707202088596,-1.22533511833803,-0.906450287751646,1.36461682159555,20.0269755736737,2.58788488597607,-4.04774157195875,2.48322832733606,1.67667411710879,-1.5131310276989,-1.80322397590519,-0.982342580017137,2.63045548903537,17.4742424828314,-0.125570459653346,16455.0,
2000-08-01,,,,,,,,,,,,,6.5,172.7,4819.5,5.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-31,,,,,,,106.66999816894533,,,112.5999984741211,33.099998474121094,278.29998779296875,,,,,4.38794944364869,5.1385391803606,8.58643201808462,2.8765231247659,4.52438074810904,3.84099115659129,2.76464755136783,10.0000668136515,4.20000000067826,,58.7379742383571,,,87.284376049437,55.0042464964554,,62.1488888669576,39.6390583837328,7.04414105947266,2.71943995691976,0.347811226864587,1.44026838719741,1.18295624210408,4.0094359104519,-0.676578683595175,20.7987606558704,5.33895913599828,-2.26366534727728,5.6531137918907,2.35225624908626,0.165707202088596,-1.22533511833803,-0.906450287751646,1.36461682159555,20.0269755736737,2.58788488597607,-4.04774157195875,2.48322832733606,1.67667411710879,-1.5131310276989,-1.80322397590519,-0.982342580017137,2.63045548903537,17.4742424828314,-0.125570459653346,17347.0,
2000-09-01,,,,,,,,,,,,,6.52,173.6,4855.2,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-30,,,,,,,108.12999725341795,,,113.25,30.86000061035156,273.6000061035156,,,,,4.38794944364869,5.1385391803606,8.58643201808462,2.8765231247659,4.52438074810904,3.84099115659129,2.76464755136783,10.0000668136515,4.20000000067826,,58.7379742383571,,,87.284376049437,55.0042464964554,,62.1488888669576,39.6390583837328,7.04414105947266,2.71943995691976,0.347811226864587,1.44026838719741,1.18295624210408,4.0094359104519,-0.676578683595175,20.7987606558704,5.33895913599828,-2.26366534727728,5.6531137918907,2.35225624908626,0.165707202088596,-1.22533511833803,-0.906450287751646,1.36461682159555,20.0269755736737,2.58788488597607,-4.04774157195875,2.48322832733606,1.67667411710879,-1.5131310276989,-1.80322397590519,-0.982342580017137,2.63045548903537,17.4742424828314,-0.125570459653346,15928.0,
2000-10-01,,,,,,,,,,,,,6.51,173.9,4871.3,5.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-10-31,,,,,,,108.79000091552734,,,116.6500015258789,32.689998626708984,264.8999938964844,,,,,4.38794944364869,5.1385391803606,8.58643201808462,2.8765231247659,4.52438074810904,3.84099115659129,2.76464755136783,10.0000668136515,4.20000000067826,,58.7379742383571,,,87.284376049437,55.0042464964554,,62.1488888669576,39.6390583837328,7.04414105947266,2.71943995691976,0.347811226864587,1.44026838719741,1.18295624210408,4.0094359104519,-0.676578683595175,20.7987606558704,5.33895913599828,-2.26366534727728,5.6531137918907,2.35225624908626,0.165707202088596,-1.22533511833803,-0.906450287751646,1.36461682159555,20.0269755736737,2.58788488597607,-4.04774157195875,2.48322832733606,1.67667411710879,-1.5131310276989,-1.80322397590519,-0.982342580017137,2.63045548903537,17.4742424828314,-0.125570459653346,14867.0,
2000-11-01,,,,,,,,,,,,,6.51,174.2,4882.7,5.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
